Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 191.8°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 205.2°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 205.7°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.1°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 206.1°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 195.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 207.5°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 195.4°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 195.4°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 195.8°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 196.7°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 209.3°F | Meat: 196.7°F | Target: 210.0°F | SSR: ON
Chamber: 209.3°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 209.3°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 209.8°F | Meat: 197.6°F | Target: 210.0°F | SSR: ON
Chamber: 210.2°F | Meat: 197.1°F | Target: 210.0°F | SSR: ON
Chamber: 210.2°F | Meat: 198.1°F | Target: 210.0°F | SSR: ON
Chamber: 210.6°F | Meat: 198.1°F | Target: 210.0°F | SSR: ON
Chamber: 211.1°F | Meat: 197.6°F | Target: 210.0°F | SSR: ON
Chamber: 211.1°F | Meat: 198.5°F | Target: 210.0°F | SSR: ON
Chamber: 211.1°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 211.6°F | Meat: 198.5°F | Target: 210.0°F | SSR: ON
Chamber: 211.6°F | Meat: 198.5°F | Target: 210.0°F | SSR: ON
Chamber: 211.6°F | Meat: 198.5°F | Target: 210.0°F | SSR: ON
Chamber: 212.0°F | Meat: 197.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 197.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 198.9°F | Target: 210.0°F | SSR: ON
Chamber: 212.4°F | Meat: 198.9°F | Target: 210.0°F | SSR: ON
Chamber: 212.9°F | Meat: 198.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 198.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 198.1°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 198.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 197.6°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 197.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 198.1°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 211.6°F | Meat: 196.7°F | Target: 210.0°F | SSR: OFF
Chamber: 211.1°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
Chamber: 211.1°F | Meat: 196.7°F | Target: 210.0°F | SSR: OFF
Chamber: 210.6°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
Chamber: 210.6°F | Meat: 197.1°F | Target: 210.0°F | SSR: OFF
Chamber: 210.2°F | Meat: 195.8°F | Target: 210.0°F | SSR: OFF
Chamber: 209.8°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 209.3°F | Meat: 195.8°F | Target: 210.0°F | SSR: OFF
Chamber: 209.3°F | Meat: 194.9°F | Target: 210.0°F | SSR: OFF
Chamber: 208.9°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
[TC] Fault on Meat: short to GND
[WARN] Meat thermocouple fault — holding last value.
Chamber: 208.4°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
Chamber: 207.9°F | Meat: 194.4°F | Target: 210.0°F | SSR: OFF
Chamber: 207.5°F | Meat: 194.0°F | Target: 210.0°F | SSR: OFF
Chamber: 207.1°F | Meat: 195.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 206.1°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 205.7°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 205.2°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 205.2°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
[TC] Fault on Meat: short to GND
[WARN] Meat thermocouple fault — holding last value.
Chamber: 203.0°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 191.8°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 191.8°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 191.8°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 189.9°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 205.2°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 205.2°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 205.7°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 206.1°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 207.5°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 207.5°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 207.5°F | Meat: 192.2°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 207.9°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 208.4°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 208.9°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 209.3°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 209.3°F | Meat: 192.6°F | Target: 210.0°F | SSR: ON
Chamber: 209.8°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 209.8°F | Meat: 194.0°F | Target: 210.0°F | SSR: ON
Chamber: 209.8°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 209.8°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 210.2°F | Meat: 193.6°F | Target: 210.0°F | SSR: ON
Chamber: 210.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 210.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 211.1°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 211.1°F | Meat: 194.4°F | Target: 210.0°F | SSR: ON
Chamber: 211.6°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 212.0°F | Meat: 194.9°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 194.9°F | Target: 210.0°F | SSR: ON
Chamber: 212.0°F | Meat: 196.7°F | Target: 210.0°F | SSR: ON
Chamber: 212.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: ON
Chamber: 212.4°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 196.7°F | Target: 210.0°F | SSR: ON
[TC] Fault on Meat: short to GND
[WARN] Meat thermocouple fault — holding last value.
Chamber: 212.9°F | Meat: 196.7°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 195.8°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 196.2°F | Target: 210.0°F | SSR: OFF
Chamber: 213.4°F | Meat: 195.8°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 195.8°F | Target: 210.0°F | SSR: OFF
Chamber: 212.9°F | Meat: 194.0°F | Target: 210.0°F | SSR: OFF
Chamber: 212.4°F | Meat: 195.4°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 194.4°F | Target: 210.0°F | SSR: OFF
Chamber: 212.0°F | Meat: 193.6°F | Target: 210.0°F | SSR: OFF
Chamber: 211.6°F | Meat: 193.1°F | Target: 210.0°F | SSR: OFF
Chamber: 211.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: OFF
Chamber: 211.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: OFF
Chamber: 211.1°F | Meat: 193.6°F | Target: 210.0°F | SSR: OFF
Chamber: 210.6°F | Meat: 194.4°F | Target: 210.0°F | SSR: OFF
Chamber: 210.6°F | Meat: 193.6°F | Target: 210.0°F | SSR: OFF
Chamber: 210.2°F | Meat: 193.1°F | Target: 210.0°F | SSR: OFF
Chamber: 209.8°F | Meat: 191.8°F | Target: 210.0°F | SSR: OFF
Chamber: 209.3°F | Meat: 193.6°F | Target: 210.0°F | SSR: OFF
Chamber: 209.3°F | Meat: 191.8°F | Target: 210.0°F | SSR: OFF
Chamber: 208.9°F | Meat: 192.6°F | Target: 210.0°F | SSR: OFF
Chamber: 208.4°F | Meat: 192.6°F | Target: 210.0°F | SSR: OFF
Chamber: 207.9°F | Meat: 192.6°F | Target: 210.0°F | SSR: OFF
Chamber: 207.9°F | Meat: 190.9°F | Target: 210.0°F | SSR: OFF
Chamber: 207.5°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 207.1°F | Meat: 190.9°F | Target: 210.0°F | SSR: ON
Chamber: 206.6°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 206.1°F | Meat: 191.3°F | Target: 210.0°F | SSR: ON
Chamber: 205.7°F | Meat: 190.9°F | Target: 210.0°F | SSR: OFF
Chamber: 205.2°F | Meat: 190.4°F | Target: 210.0°F | SSR: ON
Chamber: 204.8°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 204.4°F | Meat: 189.5°F | Target: 210.0°F | SSR: ON
Chamber: 203.9°F | Meat: 189.1°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 203.4°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 203.0°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 202.6°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 185.4°F | Target: 210.0°F | SSR: ON
Chamber: 202.1°F | Meat: 185.0°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 193.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.6°F | Meat: 184.1°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 201.2°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 183.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 182.3°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 183.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 182.8°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 187.7°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 188.1°F | Target: 210.0°F | SSR: ON
Chamber: 199.4°F | Meat: 185.4°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.4°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.4°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.4°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 187.2°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 188.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 186.4°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.0°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.0°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 199.9°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 185.0°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.1°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.3°F | Meat: 184.6°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 185.0°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 185.9°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
Chamber: 200.8°F | Meat: 186.8°F | Target: 210.0°F | SSR: ON
